STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,COUNTY_NAME
2190,DUNN C A MORGAN TERR,DUNN C A MORGAN TERRITORY RD BR,B8916520,37.8813,-121873,Contra Costa
2191,DUNN C TRIB-MT DIABL,DUNN C TRIB-MT DIABLO MINE SEEP,B8916525,37901,-121879,Contra Costa
2192,DUNN C AB DAM AB DIA,DUNN C AB DAM AB DIABLO MINE SEEP,B8916530,37.9013,-121874,Contra Costa
2193,MARSH C AB DUNN C BL,MARSH C AB DUNN C BL PERKINS CN,B8916910,37896,-121.87,Contra Costa
2194,PERKINS CN C AB MO  ,PERKINS CN C AB MO,B8917010,37896,-121.87,Contra Costa
2195,MARSH C AB PERKINS C,MARSH C AB PERKINS CN C,B8917410,37.8955,-121871,Contra Costa
2196,MARSH C BL CURRY CN ,MARSH C BL CURRY CN C,B8917810,37881,-121866,Contra Costa
2197,KELLOGG C NR BYRON S,KELLOGG C NR BYRON S/O CAM-VAQ RD,B8920500,37.8538,-121696,Contra Costa
2198,KELLOGG C A VASCO RD,KELLOGG C A VASCO RD BL PL,B8921501,37838,-121727,Contra Costa
2199,KELLOGG C A VASCO RD,KELLOGG C A VASCO RD AB PL,B8926001,37.8074,-121741,Contra Costa
2200,KELLOGG C A VASCO RD,KELLOGG C A VASCO RD NR CO LINE,B8928501,37.7741,-121741,Contra Costa
2201,BRUSHY C A ARMSTRONG,BRUSHY C A ARMSTRONG RD AB RES,B8931101,37.8383,-121629,Contra Costa
2202,BRUSHY C A ARMSTRONG,BRUSHY C A ARMSTRONG RD-FOOTHILL,B8931501,37.8216,-121641,Contra Costa
2203,BRUSHY C TRIB A DYER,BRUSHY C TRIB A DYER RD-BRUSHY C,B8933210,37.7672,-121675,Alameda
2204,BRUSHY C BL SPILLWAY,BRUSHY C BL SPILLWAY AB DYER XING,B8933310,37.7669,-121678,Alameda
2205,CORRAL HOLLOW C NR T,CORRAL HOLLOW C NR TRACY,B8950000,37.6563,-121479,San Joaquin
2206,CORRAL HOLLOW C CONN,CORRAL HOLLOW C CONNOLLY RANCH RD,B8952810,37.6397,-121491,San Joaquin
2207,HOSPITAL C A BIRD RD,HOSPITAL C A BIRD RD NR CO LINE,B8986110,37.5627,-121374,San Joaquin
2208,DELTA MENDOTA CA A S,DELTA MENDOTA CA A SIPHON BREAKER,B8C74701354,37.7833,-121591,Alameda
2209,CONTRA COSTA CA A LO,CONTRA COSTA CA A LONE TREE RD,B8C75891483,37.9819,-121806,Contra Costa
2210,LOS BANOS RESERVOIR ,LOS BANOS RESERVOIR,B8R65931560,36.9841,-121943,Merced
2211,DELTA-MENDOTA CA NR ,DELTA-MENDOTA CA NR TRACY,B9592500,37.7833,-121591,Contra Costa
2212,SHERMAN ISLAND CENTR,SHERMAN ISLAND CENTRAL CA DIV,B9C80301440,38.0499,-121735,Sacramento
2213,SAN JOAQUIN R A CIAB,SAN JOAQUIN R A CIABATTARI PUMP,B9D74261165,37.7094,-121277,San Joaquin
2214,BANTA-CARBONA IT CA ,BANTA-CARBONA IT CA A PUPL NO 1,B9D74281186,37713,-121311,San Joaquin
2215,SAN JOAQUIN R AB PAR,SAN JOAQUIN R AB PARADISE CUT,B9D74531183,37.7544,-121305,San Joaquin
2216,SAN JOAQUIN R BL PAR,SAN JOAQUIN R BL PARADISE DM,B9D74601183,37.7672,-121306,San Joaquin
